INIT,SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH
61.76,59.32,6.91,0.67,74.12,53.66,0.15,
36.93,63.37,4.89,0.63,56.78,42.93,0.16,
28.76,56.33,4.72,0.63,52.40,42.00,0.15,
28.19,58.30,3.62,0.52,54.14,44.85,0.15,
25.29,54.93,3.88,0.56,57.51,44.40,0.15,
33.22,57.99,4.57,0.66,51.85,44.83,0.16,
27.60,57.10,4.63,0.59,53.52,44.89,0.22,
34.64,61.41,7.00,0.81,58.60,49.05,0.24,
27.10,59.45,7.72,1.53,62.62,45.69,0.29,
30.45,57.37,6.05,0.73,68.37,45.33,0.22,
27.68,60.13,8.48,0.73,59.30,44.96,0.31,
30.67,57.39,8.07,0.66,64.25,46.00,0.25,
29.67,58.77,7.88,0.61,62.60,45.72,0.24,
30.17,58.12,8.77,0.85,67.31,50.46,0.26,
25.60,62.29,7.85,0.67,64.04,43.61,0.22,
32.29,55.14,6.73,0.84,63.54,45.22,0.26,
32.63,61.37,6.76,1.05,59.33,47.21,0.23,
28.99,56.70,7.90,0.55,60.52,53.20,0.25,
25.45,49.08,7.48,0.54,62.08,45.40,0.18,
33.68,64.05,7.94,0.90,57.87,43.31,0.16,
29.18,58.38,7.23,0.56,66.27,56.14,0.26,
30.99,55.44,9.46,0.83,62.78,46.19,0.33,
27.18,59.16,6.36,1.62,76.08,54.05,0.35,
33.94,55.83,6.69,1.81,65.62,45.07,0.23,
27.67,45.22,6.54,0.72,66.98,45.74,0.28,
31.86,61.88,8.04,0.58,54.52,46.75,0.21,
30.64,59.03,7.44,0.66,65.45,41.95,0.25,
32.12,58.43,6.32,0.79,64.88,44.17,0.23,
32.74,55.36,7.60,0.71,67.77,46.92,0.44,
32.97,59.24,8.68,1.64,58.75,48.57,0.32,
33.12,67.95,8.53,0.57,58.25,44.77,0.95,
31.75,58.91,6.47,1.63,86.11,46.92,0.35,
39.60,68.96,6.86,0.90,63.73,55.40,0.25,
31.03,57.35,7.48,0.69,62.16,49.35,0.24,
30.92,55.85,7.22,0.77,65.75,45.37,0.40,
25.87,68.90,6.17,0.68,68.36,52.04,0.21,
34.86,55.61,6.36,0.66,71.09,45.33,0.25,
39.00,61.93,6.11,0.68,64.08,45.46,0.28,
35.84,56.09,8.92,0.63,63.54,52.43,0.21,
35.45,68.66,6.64,0.88,66.68,43.28,0.29,
25.86,63.12,5.75,0.52,64.96,45.96,0.27,
29.51,56.67,5.56,0.65,67.13,46.95,0.26,
40.27,58.88,6.56,1.70,61.69,52.15,0.21,
36.09,55.77,6.37,0.72,64.36,47.97,0.22,
35.34,58.48,6.22,0.80,66.27,45.16,0.27,
26.86,61.00,6.73,0.69,62.39,44.50,0.43,
33.27,56.58,8.15,0.58,62.06,54.47,0.41,
32.44,61.65,6.61,0.69,62.05,44.83,0.23,
30.09,57.17,6.69,0.58,67.17,52.99,0.58,
37.05,54.48,6.33,0.86,62.01,47.61,0.22,
31.25,57.94,7.62,1.08,62.41,44.74,0.22,
34.26,53.78,7.84,0.73,68.95,47.77,0.23,
38.58,69.24,6.62,1.82,62.40,52.23,0.20,
33.29,60.45,5.65,0.74,62.95,54.65,0.23,
33.07,57.82,5.78,0.74,66.51,52.83,0.30,
34.47,59.41,6.58,0.66,60.08,55.60,0.27,
31.11,58.70,6.18,0.68,67.75,43.42,0.19,
29.62,63.30,7.79,0.57,59.06,43.61,0.26,
32.98,58.31,5.47,0.56,65.53,51.23,0.19,
25.34,61.13,6.40,0.96,61.00,53.23,0.31,
39.33,52.22,6.94,0.79,66.86,53.03,0.18,
31.62,60.74,5.98,0.83,63.68,55.26,0.37,
29.73,59.93,6.53,1.92,61.37,52.33,0.23,
38.25,62.51,6.51,0.76,62.37,49.65,0.28,
32.80,73.36,5.95,1.54,61.75,52.81,0.21,
38.73,68.86,6.48,0.70,61.66,44.81,0.31,
34.00,56.03,5.79,1.73,61.12,46.66,0.17,
34.32,58.43,2.08,0.44,64.65,49.35,0.20,
30.56,57.15,5.29,0.87,65.80,44.60,0.25,
32.91,67.79,5.56,0.71,67.41,53.85,0.18,
41.67,53.78,5.76,0.75,65.85,54.09,0.32,
38.66,63.17,8.01,0.86,66.65,53.28,0.20,
28.71,51.38,6.28,0.62,75.68,47.26,0.18,
33.20,54.33,5.28,0.61,65.80,45.29,0.25,
31.70,55.23,5.08,0.72,69.58,44.01,0.20,
26.79,61.49,12.05,0.74,56.90,44.39,0.39,
29.33,61.58,5.92,0.76,62.76,40.63,0.14,
36.70,63.22,6.64,1.08,61.95,52.14,0.20,
34.15,56.86,6.08,0.68,65.44,52.05,0.52,
32.46,58.92,6.23,1.74,67.03,43.90,0.19,
31.36,58.98,5.94,2.09,61.54,51.06,0.20,
38.81,62.34,7.56,0.63,63.57,43.71,0.21,
25.94,59.58,6.63,0.97,66.25,47.91,0.21,
41.03,60.45,5.71,0.68,60.39,46.38,0.46,
29.46,60.28,5.92,0.86,66.42,52.34,0.19,
36.85,59.84,6.13,0.74,59.19,48.34,0.46,
33.39,65.38,6.36,0.68,66.55,49.96,0.22,
39.19,67.73,8.36,1.63,59.78,50.23,0.18,
25.31,60.41,6.92,0.75,65.09,51.93,0.20,
35.75,58.60,6.20,0.98,61.46,49.60,0.20,
25.99,59.82,8.89,1.32,63.97,53.49,0.24,
31.07,61.03,5.55,0.71,48.62,45.30,0.19,
33.70,58.37,7.01,0.86,67.63,50.29,0.17,
35.99,62.93,5.63,0.66,57.81,43.24,0.20,
34.49,56.46,6.18,0.77,54.43,51.55,0.21,
37.39,58.14,6.07,0.91,69.58,50.69,0.35,
32.29,56.77,4.07,0.53,52.45,52.61,0.27,
38.93,59.44,5.34,0.77,65.01,50.50,0.21,
32.86,61.27,5.42,0.68,65.93,56.45,0.27,
25.66,58.71,5.32,0.61,71.47,48.01,0.21,
33.89,58.98,6.32,0.82,66.92,45.32,0.18,
